epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.43231,1.90077,5.211,1.23992,0,0,0,0,1.63575,5.29071,1.19033,0,0,0
2,4.75923,1.95011,5.1971,1.21161,0,0,0,0,1.6265,5.29772,1.18853,2.77083e-06,2.77083e-06,2.77083e-06
3,7.04464,2.17379,5.28082,1.18281,0,0,0,0,1.61537,5.29763,1.18346,5.5233e-06,5.5233e-06,5.5233e-06
4,9.21526,2.02345,5.27508,1.19024,0,0,0,0,1.59027,5.2974,1.17233,8.25743e-06,8.25743e-06,8.25743e-06
5,11.4481,1.85483,5.18484,1.20294,0,0,0,0,1.55267,5.29521,1.15761,1.09732e-05,1.09732e-05,1.09732e-05
6,13.7081,1.70353,5.14176,1.2246,0,0,0,0,1.50285,5.28706,1.13702,1.36706e-05,1.36706e-05,1.36706e-05
7,15.8432,1.74581,5.17953,1.21024,0,0,0,0,1.44443,5.28065,1.11455,1.63497e-05,1.63497e-05,1.63497e-05
8,18.0212,1.73735,5.16816,1.13054,0,0,0,0,1.3755,5.27162,1.08817,1.90105e-05,1.90105e-05,1.90105e-05
9,20.2103,1.66109,5.10636,1.1112,0,0,0,0,1.29825,5.24801,1.05632,2.16529e-05,2.16529e-05,2.16529e-05
10,22.4882,1.56702,5.1263,1.08324,0,0,0,0,1.22058,5.22564,1.024,2.42769e-05,2.42769e-05,2.42769e-05
11,24.6947,1.63126,5.19216,1.05376,0,0,0,0,1.16223,5.17963,0.99178,2.68826e-05,2.68826e-05,2.68826e-05
12,26.805,1.32714,5.04435,1.02296,0,0,0,0,1.1355,5.13215,0.97265,2.94699e-05,2.94699e-05,2.94699e-05
13,29.0152,1.39711,5.09505,0.99065,0,0,0,0,1.10252,5.10751,0.9588,3.20389e-05,3.20389e-05,3.20389e-05
14,31.26,1.33989,5.02726,0.97519,0,0,0,0,1.1484,5.08517,0.95333,3.45896e-05,3.45896e-05,3.45896e-05
15,33.5564,1.35027,5.12713,0.93827,0,0,0,0,1.21364,5.06883,0.94762,3.71219e-05,3.71219e-05,3.71219e-05
16,35.7851,1.2108,5.08059,0.96012,0,0,0,0,1.28422,5.05868,0.94932,3.96359e-05,3.96359e-05,3.96359e-05
17,37.9656,1.25062,4.91939,0.95392,0,0,0,0,1.33912,5.04897,0.94769,4.21315e-05,4.21315e-05,4.21315e-05
18,40.2407,1.23573,5.02083,0.92782,0,0,0,0,1.33912,5.04897,0.94769,4.46087e-05,4.46087e-05,4.46087e-05
19,42.8096,1.23076,4.97018,0.94836,0,0,0,0,1.37286,5.02956,0.94847,4.70676e-05,4.70676e-05,4.70676e-05
20,45.3433,1.2451,4.87953,0.92693,0,0,0,0,1.37286,5.02956,0.94847,4.95082e-05,4.95082e-05,4.95082e-05
21,48.0298,1.24653,4.89035,0.95004,0,0,0,0,1.36405,5.0025,0.93785,5.19304e-05,5.19304e-05,5.19304e-05
22,50.5557,1.19879,4.96442,0.93005,0,0,0,0,1.36405,5.0025,0.93785,5.43343e-05,5.43343e-05,5.43343e-05
23,53.1801,1.19569,4.93719,0.92413,0,0,0,0,1.32809,4.98328,0.92742,5.67198e-05,5.67198e-05,5.67198e-05
24,55.8166,1.27224,5.02376,0.90007,0,0,0,0,1.32809,4.98328,0.92742,5.9087e-05,5.9087e-05,5.9087e-05
25,58.6342,1.19442,4.9342,0.9087,0,0,0,0,1.2864,4.96622,0.91647,6.14358e-05,6.14358e-05,6.14358e-05
26,61.159,1.12248,4.70812,0.93362,0,0,0,0,1.2864,4.96622,0.91647,6.37662e-05,6.37662e-05,6.37662e-05
27,63.8457,1.21745,4.81816,0.90573,0,0,0,0,1.21439,4.94911,0.90152,6.60784e-05,6.60784e-05,6.60784e-05
28,66.3277,1.09989,4.83706,0.90362,0,0,0,0,1.21439,4.94911,0.90152,6.83722e-05,6.83722e-05,6.83722e-05
29,68.9897,1.12529,4.75694,0.9114,0,0,0,0,1.1366,4.93701,0.89002,7.06476e-05,7.06476e-05,7.06476e-05
30,71.596,1.21284,4.78012,0.88259,0,0,0,0,1.1366,4.93701,0.89002,7.29047e-05,7.29047e-05,7.29047e-05
31,73.9717,1.15491,4.76149,0.89772,0,0,0,0,1.06864,4.9283,0.88064,7.51434e-05,7.51434e-05,7.51434e-05
32,76.4467,1.07279,4.706,0.89357,0,0,0,0,1.06864,4.9283,0.88064,7.73638e-05,7.73638e-05,7.73638e-05
33,78.8744,1.23662,4.79599,0.89681,0,0,0,0,1.00991,4.91552,0.87025,7.95658e-05,7.95658e-05,7.95658e-05
34,81.2816,1.20371,4.74425,0.89494,0,0,0,0,1.00991,4.91552,0.87025,8.17495e-05,8.17495e-05,8.17495e-05
35,83.7676,1.11172,4.77646,0.88031,0,0,0,0,0.9823,4.905,0.86653,8.39149e-05,8.39149e-05,8.39149e-05
36,86.2518,1.18463,4.72859,0.88579,0,0,0,0,0.9823,4.905,0.86653,8.60618e-05,8.60618e-05,8.60618e-05
37,88.8617,1.04583,4.66369,0.896,0,0,0,0,0.95891,4.88823,0.86228,8.81905e-05,8.81905e-05,8.81905e-05
38,91.2529,1.03896,4.50148,0.8776,0,0,0,0,0.95891,4.88823,0.86228,9.03008e-05,9.03008e-05,9.03008e-05
39,93.7308,1.09852,4.63932,0.87178,0,0,0,0,0.96206,4.87008,0.86177,9.23927e-05,9.23927e-05,9.23927e-05
40,96.2,1.10741,4.4769,0.88356,0,0,0,0,0.96206,4.87008,0.86177,9.44663e-05,9.44663e-05,9.44663e-05
41,98.6623,1.08486,4.58214,0.88145,0,0,0,0,0.94958,4.84924,0.8591,9.65216e-05,9.65216e-05,9.65216e-05
42,101.16,1.13602,4.43432,0.88093,0,0,0,0,0.94958,4.84924,0.8591,9.85585e-05,9.85585e-05,9.85585e-05
43,103.598,1.08572,4.43356,0.88099,0,0,0,0,0.9468,4.819,0.8561,0.000100577,0.000100577,0.000100577
44,106.249,1.15754,4.55093,0.84683,0,0,0,0,0.9468,4.819,0.8561,0.000102577,0.000102577,0.000102577
45,108.699,1.05717,4.51095,0.87716,0,0,0,0,0.94621,4.78449,0.85365,0.000104559,0.000104559,0.000104559
46,111.076,1.08097,4.38589,0.84984,0,0,0,0,0.94621,4.78449,0.85365,0.000106523,0.000106523,0.000106523
47,113.661,1.11991,4.3919,0.85578,0,0,0,0,0.95017,4.74194,0.85123,0.000108468,0.000108468,0.000108468
48,116.142,1.07043,4.3822,0.87593,0,0,0,0,0.95017,4.74194,0.85123,0.000110395,0.000110395,0.000110395
49,118.659,1.09664,4.37749,0.8697,0.02969,0.04167,0.03666,0.02333,0.95028,4.70335,0.8509,0.000112303,0.000112303,0.000112303
50,121.189,1.10514,4.3375,0.85707,0.02969,0.04167,0.03666,0.02333,0.95028,4.70335,0.8509,0.000114193,0.000114193,0.000114193
51,123.792,1.0892,4.30555,0.85811,0.02604,0.07292,0.04702,0.03019,0.95686,4.66698,0.85216,0.000116065,0.000116065,0.000116065
52,126.288,1.01743,4.29727,0.88358,0.02604,0.07292,0.04702,0.03019,0.95686,4.66698,0.85216,0.000117918,0.000117918,0.000117918
53,128.709,1.08915,4.25576,0.86979,0.02604,0.07292,0.04702,0.03019,0.95686,4.66698,0.85216,0.000119754,0.000119754,0.000119754
54,131.228,1.05699,4.27362,0.8608,0.03974,0.13542,0.07416,0.04782,0.954,4.61745,0.85259,0.00012157,0.00012157,0.00012157
55,133.601,1.12224,4.24354,0.87528,0.03974,0.13542,0.07416,0.04782,0.954,4.61745,0.85259,0.000123369,0.000123369,0.000123369
56,136.103,1.07269,4.26466,0.86332,0.03974,0.13542,0.07416,0.04782,0.954,4.61745,0.85259,0.000125149,0.000125149,0.000125149
57,138.697,1.14461,4.23874,0.82783,0.02973,0.17708,0.08007,0.0495,0.95388,4.55773,0.85125,0.00012691,0.00012691,0.00012691
58,140.996,1.03387,4.05486,0.89253,0.02973,0.17708,0.08007,0.0495,0.95388,4.55773,0.85125,0.000128654,0.000128654,0.000128654
59,143.537,1.09157,4.2335,0.85823,0.02973,0.17708,0.08007,0.0495,0.95388,4.55773,0.85125,0.000130379,0.000130379,0.000130379
60,146.024,1.07243,4.10622,0.88518,0.0503,0.22396,0.09809,0.05979,0.93871,4.50361,0.8511,0.000132085,0.000132085,0.000132085
61,148.501,1.06571,4.04775,0.88116,0.0503,0.22396,0.09809,0.05979,0.93871,4.50361,0.8511,0.000133774,0.000133774,0.000133774
62,150.847,1.05473,4.07282,0.87171,0.0503,0.22396,0.09809,0.05979,0.93871,4.50361,0.8511,0.000135444,0.000135444,0.000135444
63,153.403,1.06991,4.10782,0.8847,0.04383,0.27604,0.10904,0.07002,0.93292,4.44364,0.85415,0.000137095,0.000137095,0.000137095
64,156.042,1.12822,4.05253,0.86427,0.04383,0.27604,0.10904,0.07002,0.93292,4.44364,0.85415,0.000138728,0.000138728,0.000138728
65,158.649,1.14635,4.08524,0.84695,0.04383,0.27604,0.10904,0.07002,0.93292,4.44364,0.85415,0.000140343,0.000140343,0.000140343
66,161.379,1.0657,4.02506,0.85847,0.04477,0.33854,0.11537,0.07558,0.94843,4.38729,0.85918,0.00014194,0.00014194,0.00014194
67,164.033,1.1975,4.06676,0.86738,0.04477,0.33854,0.11537,0.07558,0.94843,4.38729,0.85918,0.000143518,0.000143518,0.000143518
68,166.507,1.05942,3.86595,0.87767,0.04477,0.33854,0.11537,0.07558,0.94843,4.38729,0.85918,0.000145078,0.000145078,0.000145078
69,168.918,1.01279,3.97674,0.88102,0.04111,0.36979,0.11659,0.08068,0.95975,4.33616,0.86376,0.000146619,0.000146619,0.000146619
70,171.31,1.11885,3.92529,0.85307,0.04111,0.36979,0.11659,0.08068,0.95975,4.33616,0.86376,0.000148143,0.000148143,0.000148143
71,173.789,1.06572,3.82989,0.85709,0.04111,0.36979,0.11659,0.08068,0.95975,4.33616,0.86376,0.000149647,0.000149647,0.000149647
72,176.254,1.07658,3.82234,0.8778,0.04281,0.41146,0.12959,0.08911,0.97603,4.27518,0.86695,0.000151134,0.000151134,0.000151134
73,179.048,1.19239,3.97736,0.87829,0.04281,0.41146,0.12959,0.08911,0.97603,4.27518,0.86695,0.000152602,0.000152602,0.000152602
74,181.553,1.06741,3.80889,0.87037,0.04281,0.41146,0.12959,0.08911,0.97603,4.27518,0.86695,0.000154052,0.000154052,0.000154052
75,184.099,1.1535,3.93402,0.85928,0.04941,0.46354,0.1438,0.09553,0.9966,4.22685,0.87113,0.000155483,0.000155483,0.000155483
76,186.622,1.19004,3.71616,0.86269,0.04941,0.46354,0.1438,0.09553,0.9966,4.22685,0.87113,0.000156896,0.000156896,0.000156896
77,188.942,1.0438,3.63139,0.88388,0.04941,0.46354,0.1438,0.09553,0.9966,4.22685,0.87113,0.000158291,0.000158291,0.000158291
78,191.466,1.06056,3.78591,0.85105,0.04726,0.46354,0.14928,0.09836,0.99544,4.1837,0.87507,0.000159667,0.000159667,0.000159667
79,194.066,1.05489,3.73452,0.86115,0.04726,0.46354,0.14928,0.09836,0.99544,4.1837,0.87507,0.000161025,0.000161025,0.000161025
80,196.571,1.10242,3.6046,0.8783,0.04726,0.46354,0.14928,0.09836,0.99544,4.1837,0.87507,0.000162365,0.000162365,0.000162365
81,199.129,1.17875,3.81503,0.84239,0.05589,0.48438,0.16398,0.1085,0.97751,4.14851,0.87941,0.000163686,0.000163686,0.000163686
82,201.492,1.09464,3.63858,0.87455,0.05589,0.48438,0.16398,0.1085,0.97751,4.14851,0.87941,0.000164989,0.000164989,0.000164989
83,204.077,1.08177,3.63526,0.87027,0.05589,0.48438,0.16398,0.1085,0.97751,4.14851,0.87941,0.000166274,0.000166274,0.000166274
84,206.734,1.10929,3.60708,0.87014,0.05403,0.49479,0.16859,0.11661,0.95761,4.10533,0.88195,0.00016754,0.00016754,0.00016754
85,209.265,1.12609,3.77919,0.83927,0.05403,0.49479,0.16859,0.11661,0.95761,4.10533,0.88195,0.000168788,0.000168788,0.000168788
86,211.887,1.08989,3.76328,0.86489,0.05403,0.49479,0.16859,0.11661,0.95761,4.10533,0.88195,0.000170018,0.000170018,0.000170018
87,214.383,1.03537,3.61881,0.87707,0.05403,0.49479,0.16859,0.11661,0.95761,4.10533,0.88195,0.000171229,0.000171229,0.000171229
88,216.965,1.14567,3.7341,0.85083,0.05353,0.49479,0.16784,0.11662,0.95113,4.07815,0.88502,0.000172422,0.000172422,0.000172422
